"byear","time","TotalGoers","TotalIrregulars","TotalAbsentees","ProportionGoers","ProportionIrregulars","ProportionAbsentees"
1980,0,166,250,472,0.186936936936937,0.281531531531532,0.531531531531532
1980,1,155,260,473,0.17454954954955,0.292792792792793,0.532657657657658
1980,2,136,263,489,0.153153153153153,0.296171171171171,0.550675675675676
1980,3,147,236,505,0.165540540540541,0.265765765765766,0.568693693693694
1980,4,143,241,504,0.161036036036036,0.271396396396396,0.567567567567568
1980,5,158,228,502,0.177927927927928,0.256756756756757,0.565315315315315
1980,6,139,223,526,0.156531531531532,0.251126126126126,0.592342342342342
1980,7,145,238,505,0.163288288288288,0.268018018018018,0.568693693693694
1980,8,151,231,506,0.170045045045045,0.260135135135135,0.56981981981982
1981,0,251,309,455,0.247290640394089,0.304433497536946,0.448275862068966
1981,1,219,311,485,0.21576354679803,0.3064039408867,0.477832512315271
1981,2,202,303,510,0.199014778325123,0.298522167487685,0.502463054187192
1981,3,215,285,515,0.211822660098522,0.280788177339901,0.507389162561576
1981,4,206,253,556,0.202955665024631,0.249261083743842,0.547783251231527
1981,5,212,266,537,0.208866995073892,0.262068965517241,0.529064039408867
1981,6,198,260,557,0.195073891625616,0.25615763546798,0.548768472906404
1981,7,192,258,565,0.189162561576355,0.254187192118227,0.556650246305419
1981,8,196,254,565,0.193103448275862,0.250246305418719,0.556650246305419
1982,0,287,301,486,0.267225325884544,0.280260707635009,0.452513966480447
1982,1,242,327,505,0.225325884543762,0.304469273743017,0.470204841713222
1982,2,218,297,559,0.202979515828678,0.276536312849162,0.52048417132216
1982,3,223,279,572,0.207635009310987,0.259776536312849,0.532588454376164
1982,4,197,273,604,0.18342644320298,0.254189944134078,0.562383612662942
1982,5,226,257,591,0.210428305400372,0.239292364990689,0.550279329608939
1982,6,186,264,624,0.173184357541899,0.245810055865922,0.581005586592179
1982,7,190,263,621,0.176908752327747,0.24487895716946,0.578212290502793
1982,8,224,234,616,0.208566108007449,0.217877094972067,0.573556797020484
1983,0,379,270,475,0.337188612099644,0.240213523131673,0.422597864768683
1983,1,300,329,495,0.266903914590747,0.29270462633452,0.440391459074733
1983,2,252,312,560,0.224199288256228,0.277580071174377,0.498220640569395
1983,3,220,307,597,0.195729537366548,0.273131672597865,0.531138790035587
1983,4,203,295,626,0.180604982206406,0.262455516014235,0.556939501779359
1983,5,206,313,605,0.183274021352313,0.27846975088968,0.538256227758007
1983,6,203,274,647,0.180604982206406,0.243772241992883,0.575622775800712
1983,7,198,264,662,0.176156583629893,0.234875444839858,0.588967971530249
1983,8,193,259,672,0.171708185053381,0.230427046263345,0.597864768683274
1984,0,441,257,402,0.400909090909091,0.233636363636364,0.365454545454545
1984,1,374,283,443,0.34,0.257272727272727,0.402727272727273
1984,2,275,317,508,0.25,0.288181818181818,0.461818181818182
1984,3,239,337,524,0.217272727272727,0.306363636363636,0.476363636363636
1984,4,197,305,598,0.179090909090909,0.277272727272727,0.543636363636364
1984,5,183,298,619,0.166363636363636,0.270909090909091,0.562727272727273
1984,6,172,253,675,0.156363636363636,0.23,0.613636363636364
1984,7,174,275,651,0.158181818181818,0.25,0.591818181818182
1984,8,177,261,662,0.160909090909091,0.237272727272727,0.601818181818182
